year,month,r04_risk_level,conservative_risk_level,base_interval_days,trigger_threshold,base_visits,expected_trigger_visits,worst_case_reserved_visits,evaluation_time_local,calendar_continuity,rapid_signal_access_assumption,q90_water_log_change,q90_sediment_log_change,water_same_time_proxy,sediment_same_time_proxy,trigger_score,historical_to_field_mapping,laboratory_result_deadline,missing_sediment_fallback,action
2022,11,medium,medium,10,2.0,3,1.6666666666666667,30,daily 09:00 Asia/Shanghai,Carry the previous 09:00 reading and pending next-two-calendar-day follow-ups across month and year boundaries; never reset at month start.,"Q and rapid C come from the existing station/remote sensor feed with no incremental field visit; if manual attendance is required, add that daily cost and re-optimize.",0.08067714993482539,0.33139200295773896,"W*=0.000864*Q, Q in m3/s; daily-equivalent units of 1e8 m3","S*=0.00864*Q*C, C rapid turbidity/sediment proxy in kg/m3; daily-equivalent units of 1e4 t","D=max(abs(diff(log1p(W*)))/q90_water, abs(diff(log1p(S*)))/q90_sediment) using only current/prior 09:00 readings","q90 values come from adjacent historical daily-total proxies; W* and S* use the same stored units at one fixed clock time, so no future daily total is used. Prospective same-time data are required to recalibrate this approximation.",Formal assay result returned before 09:00 Asia/Shanghai on the next calendar day,"If rapid C or the prior formal sediment result is unavailable by 09:00, do not wait: use the water component abs(diff(log1p(W*)))/q90_water alone and trigger at the same monthly threshold.",threshold reached: sample on each of the next 2 calendar days at 09:00; merge duplicate dates
2022,12,low,low,14,2.5,3,1.0,31,daily 09:00 Asia/Shanghai,Carry the previous 09:00 reading and pending next-two-calendar-day follow-ups across month and year boundaries; never reset at month start.,"Q and rapid C come from the existing station/remote sensor feed with no incremental field visit; if manual attendance is required, add that daily cost and re-optimize.",0.08067714993482539,0.33139200295773896,"W*=0.000864*Q, Q in m3/s; daily-equivalent units of 1e8 m3","S*=0.00864*Q*C, C rapid turbidity/sediment proxy in kg/m3; daily-equivalent units of 1e4 t","D=max(abs(diff(log1p(W*)))/q90_water, abs(diff(log1p(S*)))/q90_sediment) using only current/prior 09:00 readings","q90 values come from adjacent historical daily-total proxies; W* and S* use the same stored units at one fixed clock time, so no future daily total is used. Prospective same-time data are required to recalibrate this approximation.",Formal assay result returned before 09:00 Asia/Shanghai on the next calendar day,"If rapid C or the prior formal sediment result is unavailable by 09:00, do not wait: use the water component abs(diff(log1p(W*)))/q90_water alone and trigger at the same monthly threshold.",threshold reached: sample on each of the next 2 calendar days at 09:00; merge duplicate dates
2023,1,low,low,14,2.5,3,0.0,31,daily 09:00 Asia/Shanghai,Carry the previous 09:00 reading and pending next-two-calendar-day follow-ups across month and year boundaries; never reset at month start.,"Q and rapid C come from the existing station/remote sensor feed with no incremental field visit; if manual attendance is required, add that daily cost and re-optimize.",0.08067714993482539,0.33139200295773896,"W*=0.000864*Q, Q in m3/s; daily-equivalent units of 1e8 m3","S*=0.00864*Q*C, C rapid turbidity/sediment proxy in kg/m3; daily-equivalent units of 1e4 t","D=max(abs(diff(log1p(W*)))/q90_water, abs(diff(log1p(S*)))/q90_sediment) using only current/prior 09:00 readings","q90 values come from adjacent historical daily-total proxies; W* and S* use the same stored units at one fixed clock time, so no future daily total is used. Prospective same-time data are required to recalibrate this approximation.",Formal assay result returned before 09:00 Asia/Shanghai on the next calendar day,"If rapid C or the prior formal sediment result is unavailable by 09:00, do not wait: use the water component abs(diff(log1p(W*)))/q90_water alone and trigger at the same monthly threshold.",threshold reached: sample on each of the next 2 calendar days at 09:00; merge duplicate dates
2023,2,low,low,14,2.5,2,0.0,28,daily 09:00 Asia/Shanghai,Carry the previous 09:00 reading and pending next-two-calendar-day follow-ups across month and year boundaries; never reset at month start.,"Q and rapid C come from the existing station/remote sensor feed with no incremental field visit; if manual attendance is required, add that daily cost and re-optimize.",0.08067714993482539,0.33139200295773896,"W*=0.000864*Q, Q in m3/s; daily-equivalent units of 1e8 m3","S*=0.00864*Q*C, C rapid turbidity/sediment proxy in kg/m3; daily-equivalent units of 1e4 t","D=max(abs(diff(log1p(W*)))/q90_water, abs(diff(log1p(S*)))/q90_sediment) using only current/prior 09:00 readings","q90 values come from adjacent historical daily-total proxies; W* and S* use the same stored units at one fixed clock time, so no future daily total is used. Prospective same-time data are required to recalibrate this approximation.",Formal assay result returned before 09:00 Asia/Shanghai on the next calendar day,"If rapid C or the prior formal sediment result is unavailable by 09:00, do not wait: use the water component abs(diff(log1p(W*)))/q90_water alone and trigger at the same monthly threshold.",threshold reached: sample on each of the next 2 calendar days at 09:00; merge duplicate dates
2023,3,low,low,14,2.5,3,0.0,31,daily 09:00 Asia/Shanghai,Carry the previous 09:00 reading and pending next-two-calendar-day follow-ups across month and year boundaries; never reset at month start.,"Q and rapid C come from the existing station/remote sensor feed with no incremental field visit; if manual attendance is required, add that daily cost and re-optimize.",0.08067714993482539,0.33139200295773896,"W*=0.000864*Q, Q in m3/s; daily-equivalent units of 1e8 m3","S*=0.00864*Q*C, C rapid turbidity/sediment proxy in kg/m3; daily-equivalent units of 1e4 t","D=max(abs(diff(log1p(W*)))/q90_water, abs(diff(log1p(S*)))/q90_sediment) using only current/prior 09:00 readings","q90 values come from adjacent historical daily-total proxies; W* and S* use the same stored units at one fixed clock time, so no future daily total is used. Prospective same-time data are required to recalibrate this approximation.",Formal assay result returned before 09:00 Asia/Shanghai on the next calendar day,"If rapid C or the prior formal sediment result is unavailable by 09:00, do not wait: use the water component abs(diff(log1p(W*)))/q90_water alone and trigger at the same monthly threshold.",threshold reached: sample on each of the next 2 calendar days at 09:00; merge duplicate dates
2023,4,medium,medium,10,1.5,3,0.0,30,daily 09:00 Asia/Shanghai,Carry the previous 09:00 reading and pending next-two-calendar-day follow-ups across month and year boundaries; never reset at month start.,"Q and rapid C come from the existing station/remote sensor feed with no incremental field visit; if manual attendance is required, add that daily cost and re-optimize.",0.08067714993482539,0.33139200295773896,"W*=0.000864*Q, Q in m3/s; daily-equivalent units of 1e8 m3","S*=0.00864*Q*C, C rapid turbidity/sediment proxy in kg/m3; daily-equivalent units of 1e4 t","D=max(abs(diff(log1p(W*)))/q90_water, abs(diff(log1p(S*)))/q90_sediment) using only current/prior 09:00 readings","q90 values come from adjacent historical daily-total proxies; W* and S* use the same stored units at one fixed clock time, so no future daily total is used. Prospective same-time data are required to recalibrate this approximation.",Formal assay result returned before 09:00 Asia/Shanghai on the next calendar day,"If rapid C or the prior formal sediment result is unavailable by 09:00, do not wait: use the water component abs(diff(log1p(W*)))/q90_water alone and trigger at the same monthly threshold.",threshold reached: sample on each of the next 2 calendar days at 09:00; merge duplicate dates
2023,5,medium,medium,10,1.5,4,0.0,31,daily 09:00 Asia/Shanghai,Carry the previous 09:00 reading and pending next-two-calendar-day follow-ups across month and year boundaries; never reset at month start.,"Q and rapid C come from the existing station/remote sensor feed with no incremental field visit; if manual attendance is required, add that daily cost and re-optimize.",0.08067714993482539,0.33139200295773896,"W*=0.000864*Q, Q in m3/s; daily-equivalent units of 1e8 m3","S*=0.00864*Q*C, C rapid turbidity/sediment proxy in kg/m3; daily-equivalent units of 1e4 t","D=max(abs(diff(log1p(W*)))/q90_water, abs(diff(log1p(S*)))/q90_sediment) using only current/prior 09:00 readings","q90 values come from adjacent historical daily-total proxies; W* and S* use the same stored units at one fixed clock time, so no future daily total is used. Prospective same-time data are required to recalibrate this approximation.",Formal assay result returned before 09:00 Asia/Shanghai on the next calendar day,"If rapid C or the prior formal sediment result is unavailable by 09:00, do not wait: use the water component abs(diff(log1p(W*)))/q90_water alone and trigger at the same monthly threshold.",threshold reached: sample on each of the next 2 calendar days at 09:00; merge duplicate dates
2023,6,high,high,5,2.5,6,1.6666666666666667,30,daily 09:00 Asia/Shanghai,Carry the previous 09:00 reading and pending next-two-calendar-day follow-ups across month and year boundaries; never reset at month start.,"Q and rapid C come from the existing station/remote sensor feed with no incremental field visit; if manual attendance is required, add that daily cost and re-optimize.",0.08067714993482539,0.33139200295773896,"W*=0.000864*Q, Q in m3/s; daily-equivalent units of 1e8 m3","S*=0.00864*Q*C, C rapid turbidity/sediment proxy in kg/m3; daily-equivalent units of 1e4 t","D=max(abs(diff(log1p(W*)))/q90_water, abs(diff(log1p(S*)))/q90_sediment) using only current/prior 09:00 readings","q90 values come from adjacent historical daily-total proxies; W* and S* use the same stored units at one fixed clock time, so no future daily total is used. Prospective same-time data are required to recalibrate this approximation.",Formal assay result returned before 09:00 Asia/Shanghai on the next calendar day,"If rapid C or the prior formal sediment result is unavailable by 09:00, do not wait: use the water component abs(diff(log1p(W*)))/q90_water alone and trigger at the same monthly threshold.",threshold reached: sample on each of the next 2 calendar days at 09:00; merge duplicate dates
2023,7,high,high,5,2.5,7,1.6666666666666665,31,daily 09:00 Asia/Shanghai,Carry the previous 09:00 reading and pending next-two-calendar-day follow-ups across month and year boundaries; never reset at month start.,"Q and rapid C come from the existing station/remote sensor feed with no incremental field visit; if manual attendance is required, add that daily cost and re-optimize.",0.08067714993482539,0.33139200295773896,"W*=0.000864*Q, Q in m3/s; daily-equivalent units of 1e8 m3","S*=0.00864*Q*C, C rapid turbidity/sediment proxy in kg/m3; daily-equivalent units of 1e4 t","D=max(abs(diff(log1p(W*)))/q90_water, abs(diff(log1p(S*)))/q90_sediment) using only current/prior 09:00 readings","q90 values come from adjacent historical daily-total proxies; W* and S* use the same stored units at one fixed clock time, so no future daily total is used. Prospective same-time data are required to recalibrate this approximation.",Formal assay result returned before 09:00 Asia/Shanghai on the next calendar day,"If rapid C or the prior formal sediment result is unavailable by 09:00, do not wait: use the water component abs(diff(log1p(W*)))/q90_water alone and trigger at the same monthly threshold.",threshold reached: sample on each of the next 2 calendar days at 09:00; merge duplicate dates
2023,8,high,high,5,2.5,7,4.333333333333334,31,daily 09:00 Asia/Shanghai,Carry the previous 09:00 reading and pending next-two-calendar-day follow-ups across month and year boundaries; never reset at month start.,"Q and rapid C come from the existing station/remote sensor feed with no incremental field visit; if manual attendance is required, add that daily cost and re-optimize.",0.08067714993482539,0.33139200295773896,"W*=0.000864*Q, Q in m3/s; daily-equivalent units of 1e8 m3","S*=0.00864*Q*C, C rapid turbidity/sediment proxy in kg/m3; daily-equivalent units of 1e4 t","D=max(abs(diff(log1p(W*)))/q90_water, abs(diff(log1p(S*)))/q90_sediment) using only current/prior 09:00 readings","q90 values come from adjacent historical daily-total proxies; W* and S* use the same stored units at one fixed clock time, so no future daily total is used. Prospective same-time data are required to recalibrate this approximation.",Formal assay result returned before 09:00 Asia/Shanghai on the next calendar day,"If rapid C or the prior formal sediment result is unavailable by 09:00, do not wait: use the water component abs(diff(log1p(W*)))/q90_water alone and trigger at the same monthly threshold.",threshold reached: sample on each of the next 2 calendar days at 09:00; merge duplicate dates
2023,9,high,high,5,2.5,6,3.3333333333333335,30,daily 09:00 Asia/Shanghai,Carry the previous 09:00 reading and pending next-two-calendar-day follow-ups across month and year boundaries; never reset at month start.,"Q and rapid C come from the existing station/remote sensor feed with no incremental field visit; if manual attendance is required, add that daily cost and re-optimize.",0.08067714993482539,0.33139200295773896,"W*=0.000864*Q, Q in m3/s; daily-equivalent units of 1e8 m3","S*=0.00864*Q*C, C rapid turbidity/sediment proxy in kg/m3; daily-equivalent units of 1e4 t","D=max(abs(diff(log1p(W*)))/q90_water, abs(diff(log1p(S*)))/q90_sediment) using only current/prior 09:00 readings","q90 values come from adjacent historical daily-total proxies; W* and S* use the same stored units at one fixed clock time, so no future daily total is used. Prospective same-time data are required to recalibrate this approximation.",Formal assay result returned before 09:00 Asia/Shanghai on the next calendar day,"If rapid C or the prior formal sediment result is unavailable by 09:00, do not wait: use the water component abs(diff(log1p(W*)))/q90_water alone and trigger at the same monthly threshold.",threshold reached: sample on each of the next 2 calendar days at 09:00; merge duplicate dates
2023,10,high,high,5,2.0,7,1.6666666666666665,31,daily 09:00 Asia/Shanghai,Carry the previous 09:00 reading and pending next-two-calendar-day follow-ups across month and year boundaries; never reset at month start.,"Q and rapid C come from the existing station/remote sensor feed with no incremental field visit; if manual attendance is required, add that daily cost and re-optimize.",0.08067714993482539,0.33139200295773896,"W*=0.000864*Q, Q in m3/s; daily-equivalent units of 1e8 m3","S*=0.00864*Q*C, C rapid turbidity/sediment proxy in kg/m3; daily-equivalent units of 1e4 t","D=max(abs(diff(log1p(W*)))/q90_water, abs(diff(log1p(S*)))/q90_sediment) using only current/prior 09:00 readings","q90 values come from adjacent historical daily-total proxies; W* and S* use the same stored units at one fixed clock time, so no future daily total is used. Prospective same-time data are required to recalibrate this approximation.",Formal assay result returned before 09:00 Asia/Shanghai on the next calendar day,"If rapid C or the prior formal sediment result is unavailable by 09:00, do not wait: use the water component abs(diff(log1p(W*)))/q90_water alone and trigger at the same monthly threshold.",threshold reached: sample on each of the next 2 calendar days at 09:00; merge duplicate dates
2023,11,medium,medium,10,2.0,3,1.6666666666666667,30,daily 09:00 Asia/Shanghai,Carry the previous 09:00 reading and pending next-two-calendar-day follow-ups across month and year boundaries; never reset at month start.,"Q and rapid C come from the existing station/remote sensor feed with no incremental field visit; if manual attendance is required, add that daily cost and re-optimize.",0.08067714993482539,0.33139200295773896,"W*=0.000864*Q, Q in m3/s; daily-equivalent units of 1e8 m3","S*=0.00864*Q*C, C rapid turbidity/sediment proxy in kg/m3; daily-equivalent units of 1e4 t","D=max(abs(diff(log1p(W*)))/q90_water, abs(diff(log1p(S*)))/q90_sediment) using only current/prior 09:00 readings","q90 values come from adjacent historical daily-total proxies; W* and S* use the same stored units at one fixed clock time, so no future daily total is used. Prospective same-time data are required to recalibrate this approximation.",Formal assay result returned before 09:00 Asia/Shanghai on the next calendar day,"If rapid C or the prior formal sediment result is unavailable by 09:00, do not wait: use the water component abs(diff(log1p(W*)))/q90_water alone and trigger at the same monthly threshold.",threshold reached: sample on each of the next 2 calendar days at 09:00; merge duplicate dates
2023,12,low,low,14,2.5,3,1.0,31,daily 09:00 Asia/Shanghai,Carry the previous 09:00 reading and pending next-two-calendar-day follow-ups across month and year boundaries; never reset at month start.,"Q and rapid C come from the existing station/remote sensor feed with no incremental field visit; if manual attendance is required, add that daily cost and re-optimize.",0.08067714993482539,0.33139200295773896,"W*=0.000864*Q, Q in m3/s; daily-equivalent units of 1e8 m3","S*=0.00864*Q*C, C rapid turbidity/sediment proxy in kg/m3; daily-equivalent units of 1e4 t","D=max(abs(diff(log1p(W*)))/q90_water, abs(diff(log1p(S*)))/q90_sediment) using only current/prior 09:00 readings","q90 values come from adjacent historical daily-total proxies; W* and S* use the same stored units at one fixed clock time, so no future daily total is used. Prospective same-time data are required to recalibrate this approximation.",Formal assay result returned before 09:00 Asia/Shanghai on the next calendar day,"If rapid C or the prior formal sediment result is unavailable by 09:00, do not wait: use the water component abs(diff(log1p(W*)))/q90_water alone and trigger at the same monthly threshold.",threshold reached: sample on each of the next 2 calendar days at 09:00; merge duplicate dates
